f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,class
f00,f10,f20,f30,f41,f50,f61,f71,f80,1.7385,0.1321,0.7282,0.3827,0.8842,0.8888,0.0863,0.1589,0.1971,C0
f00,f11,f20,f30,f41,f50,f61,f71,f81,1.2636,0.8294,1.0782,0.3467,1.315,1.1525,0.9436,0.6084,1.648,C0
f00,f10,f21,f30,f41,f50,f61,f70,f81,0.1656,1.5123,0.7337,0.6762,0.1564,0.6285,0.8575,2.2159,1.446,C0
f00,f10,f21,f30,f41,f50,f60,f70,f80,1.0211,1.1006,2.4173,0.2181,0.9367,0.4794,1.3197,2.3965,2.499,C0
f01,f10,f20,f30,f41,f50,f61,f71,f80,1.3498,1.4566,0.5363,0.625,0.062,0.0333,0.4091,0.9101,1.0371,C0
f01,f10,f20,f30,f41,f50,f61,f71,f81,0.417,0.2714,0.4699,0.9508,0.6633,1.2404,0.5294,2.2142,0.1835,C0
f00,f11,f20,f30,f41,f50,f61,f71,f80,0.1151,1.5575,1.1466,0.353,0.8569,0.3377,1.6896,2.4168,0.8238,C0
f00,f11,f21,f30,f40,f50,f61,f71,f80,1.2106,1.812,0.6763,0.6543,1.6119,1.7357,0.1326,2.2401,0.089,C0
f00,f10,f20,f30,f40,f50,f61,f70,f80,1.0094,0.3216,1.9697,1.4901,1.0906,1.0842,1.5833,2.2075,2.4933,C0
f01,f11,f20,f30,f41,f50,f61,f70,f80,0.0293,1.6222,1.052,0.999,0.2101,0.728,0.4595,0.8769,1.2486,C0
f00,f10,f20,f30,f40,f50,f60,f71,f80,1.1853,0.7301,0.2806,0.9279,0.1119,1.7361,1.4134,0.1064,1.4113,C0
f01,f11,f21,f30,f40,f50,f61,f70,f80,1.7405,1.7673,1.903,0.2199,0.5736,0.6544,0.0547,2.2172,2.1023,C0
f00,f10,f20,f31,f40,f50,f61,f70,f80,1.0896,1.6063,0.7933,0.4974,0.6648,1.5785,0.5012,1.569,1.2618,C0
f00,f10,f21,f30,f41,f50,f61,f71,f80,0.0826,1.5792,1.3478,1.6024,0.0457,1.477,1.204,1.2394,1.8064,C0
f01,f10,f21,f30,f41,f50,f61,f71,f81,0.988,0.493,1.5142,0.4249,0.6121,0.3759,0.7615,0.3875,0.9466,C0
f01,f10,f20,f30,f40,f50,f61,f71,f80,1.8565,0.1121,0.5655,1.5467,0.7656,0.9654,1.5616,1.7082,0.1463,C0
f00,f10,f21,f31,f40,f50,f60,f71,f80,1.2827,0.9513,0.9326,1.6029,1.4216,1.5589,0.3604,1.1005,1.8408,C0
f01,f10,f21,f30,f41,f50,f61,f71,f81,1.8489,2.092,1.9302,0.1872,0.9728,0.445,1.3404,1.0886,0.864,C0
f00,f11,f20,f30,f41,f50,f60,f71,f80,1.8516,0.1677,1.9891,1.3108,0.0635,1.776,0.6196,2.0063,2.086,C0
f01,f11,f21,f30,f40,f51,f60,f71,f81,0.804,0.2129,0.1957,1.3335,0.6429,1.4743,0.8097,0.9519,0.8963,C0
f00,f11,f20,f31,f41,f50,f61,f71,f80,0.3098,0.9361,0.9653,1.0018,0.9784,1.349,0.977,1.5499,0.0318,C0
f01,f11,f20,f30,f41,f50,f61,f70,f80,1.6335,0.7278,0.7006,0.1587,2.3653,1.6275,0.4561,0.7669,2.1659,C0
f01,f11,f20,f30,f40,f50,f60,f71,f80,1.2621,2.2572,2.256,1.5824,2.1835,1.5279,1.2225,1.4818,1.3428,C0
f01,f10,f20,f30,f40,f50,f61,f71,f81,1.7895,0.3759,1.3083,1.5682,0.6115,1.4652,0.935,2.029,0.5652,C0
f01,f10,f20,f30,f40,f50,f61,f71,f80,0.9486,1.8172,0.1079,0.4183,1.2164,1.5393,0.4341,2.0404,1.0242,C0
f00,f10,f20,f30,f41,f50,f60,f71,f80,0.7495,1.5573,0.1354,0.7482,0.2697,0.1348,1.3204,2.0809,0.585,C0
f00,f10,f21,f30,f41,f50,f61,f71,f80,1.7791,2.3334,2.1755,1.1952,2.1806,0.6142,1.6,1.1539,0.6206,C0
f00,f10,f20,f30,f40,f50,f60,f70,f80,0.627,2.0055,0.1806,0.5941,0.6035,0.38,1.5574,0.2325,0.1593,C0
f01,f10,f20,f30,f41,f50,f61,f70,f80,1.5369,2.1247,1.5293,1.3515,1.878,0.4024,0.6054,0.2759,2.4634,C0
f00,f10,f20,f30,f41,f50,f61,f71,f80,1.5903,2.3426,2.0717,0.5479,0.4486,0.6042,0.4299,0.597,2.484,C0
f00,f11,f21,f30,f41,f50,f61,f70,f80,1.8627,1.2538,0.387,1.4613,1.7751,1.7325,0.0725,2.4784,0.6112,C0
f00,f11,f20,f30,f41,f50,f61,f70,f80,1.5326,0.5213,2.1362,0.3933,0.6592,1.3505,1.2696,1.6933,1.5039,C0
f00,f11,f20,f30,f40,f50,f61,f71,f80,0.7181,2.0918,2.0656,1.6273,1.1448,1.2697,1.4743,1.28,1.2855,C0
f01,f11,f20,f30,f41,f50,f61,f70,f81,0.4928,0.5654,0.1094,1.5619,1.2357,0.7473,1.4354,1.8723,2.4817,C0
f00,f10,f21,f30,f41,f50,f61,f70,f80,1.173,1.3536,2.3397,1.6332,1.8438,0.583,0.7832,2.1706,2.2713,C0
f01,f11,f21,f30,f40,f51,f60,f70,f80,1.8747,1.6238,1.7053,1.0652,0.3862,1.477,0.6508,0.6114,0.6541,C0
f00,f11,f21,f30,f41,f50,f60,f71,f80,1.5272,2.1809,0.8079,0.3721,1.0515,1.7454,1.087,0.1649,1.9649,C0
f01,f10,f20,f30,f41,f50,f61,f71,f81,1.7148,1.7974,0.5672,0.9919,1.5907,1.7811,1.3247,1.5349,1.1181,C0
f00,f11,f20,f30,f41,f50,f61,f70,f80,1.5029,2.1258,2.1363,1.5632,1.0563,0.8114,1.1416,2.0691,1.7367,C0
f01,f10,f20,f30,f40,f50,f61,f71,f81,0.2231,0.475,2.3223,0.3173,0.6623,0.3296,1.6628,0.7865,1.7855,C0
f00,f10,f21,f30,f41,f50,f61,f70,f80,0.4435,0.7696,0.3549,0.8851,1.7114,0.4227,1.1545,1.5346,1.8389,C0
f00,f10,f21,f31,f40,f50,f61,f70,f80,1.7999,0.5946,0.3947,0.6708,1.8909,0.4445,0.9329,0.6103,1.5912,C0
f00,f10,f20,f30,f41,f50,f61,f70,f80,0.7731,1.6506,0.0073,0.7331,2.3696,1.0594,0.8493,0.7546,1.3033,C0
f01,f10,f20,f30,f40,f50,f61,f70,f80,0.1878,1.2963,0.7767,0.4039,0.0203,0.8635,0.5839,2.149,2.4837,C0
f00,f10,f21,f30,f40,f51,f60,f70,f80,1.7835,0.2893,0.3497,1.1019,1.6025,0.58,0.7928,0.2558,0.0456,C0
f00,f10,f21,f30,f41,f50,f61,f71,f80,1.4045,0.7119,1.4502,1.1416,0.7971,1.4742,1.1722,2.4472,1.1623,C0
f00,f11,f20,f30,f41,f50,f60,f70,f80,0.2548,1.4901,1.3727,0.8093,0.9251,0.9291,0.7768,0.9301,1.7404,C0
f01,f10,f20,f30,f41,f50,f61,f71,f80,0.0343,0.5846,1.6274,0.1679,0.3179,0.3413,0.7734,1.3626,0.9906,C0
f01,f11,f20,f30,f41,f50,f61,f71,f80,0.6156,0.2305,1.2755,0.1239,1.6476,0.923,1.0629,0.8163,1.5902,C0
f01,f10,f21,f30,f41,f50,f61,f71,f81,1.8122,1.6727,2.4352,0.8071,1.9161,0.3822,1.5975,2.0026,0.3425,C0
f01,f11,f20,f30,f40,f50,f61,f71,f80,1.1116,0.0793,2.1587,1.6069,1.7715,1.5448,1.5702,1.7206,0.9736,C0
f01,f10,f21,f30,f41,f50,f60,f71,f80,1.834,0.1105,1.2413,0.3246,0.7045,1.1255,1.0984,1.9693,1.6634,C0
f00,f11,f21,f30,f41,f50,f61,f71,f80,1.5423,0.3517,1.3339,0.3763,0.3752,0.7634,0.7164,1.9079,1.2456,C0
f00,f11,f20,f31,f40,f50,f61,f71,f81,1.8853,0.2711,0.9678,1.0142,0.1566,1.8009,0.7406,1.9217,1.5205,C0
f00,f10,f21,f30,f41,f50,f61,f71,f80,0.2869,2.0134,0.4527,0.9264,0.4188,0.2634,1.6408,2.3377,2.5254,C0
f00,f11,f20,f31,f40,f51,f60,f71,f81,1.1236,1.1238,0.5741,0.1339,0.1001,1.4192,1.3486,2.3267,1.8136,C0
f01,f11,f20,f31,f41,f50,f60,f71,f81,0.6753,2.3296,0.6723,0.1494,0.9971,1.5093,1.3732,0.2398,0.6063,C0
f01,f10,f20,f30,f41,f50,f61,f71,f80,0.8361,1.4366,0.2987,1.7332,1.974,1.2668,0.2352,1.3177,2.3114,C0
f01,f11,f20,f30,f41,f50,f61,f71,f80,1.3169,0.5096,1.52,0.5529,0.914,0.703,1.4503,1.2652,1.1121,C0
f01,f11,f20,f30,f40,f50,f60,f71,f80,0.3946,0.933,1.7675,0.8719,1.6931,1.4349,0.1341,2.4002,2.4242,C0
f00,f11,f20,f30,f41,f51,f61,f71,f80,1.6172,0.9848,1.593,0.8769,0.675,0.3653,0.405,1.9146,0.976,C0
f01,f11,f21,f30,f41,f50,f61,f71,f80,1.6222,2.0239,2.4808,1.1291,1.3314,0.914,0.3889,0.2259,0.5403,C0
f01,f10,f20,f30,f41,f50,f61,f71,f80,0.3326,1.4352,1.0194,0.6303,1.5742,1.3843,1.6723,0.8702,1.702,C0
f01,f11,f20,f30,f40,f50,f61,f70,f80,1.4744,0.1077,0.8209,1.3336,1.9213,1.6888,0.4186,2.6204,0.7504,C0
f01,f10,f21,f30,f40,f50,f60,f71,f80,0.0145,0.1182,0.6177,1.4929,0.638,1.8005,0.4382,1.0611,0.0439,C0
f00,f10,f21,f31,f41,f51,f61,f71,f81,0.0168,1.3,0.7521,0.8029,1.9013,1.1635,0.805,0.6231,1.9339,C0
f01,f10,f20,f30,f41,f50,f60,f71,f81,1.5016,0.6241,1.0477,0.4775,2.1372,1.1048,0.0227,0.0952,0.508,C0
f00,f10,f21,f30,f41,f50,f61,f71,f80,1.0181,0.78,1.2888,0.9981,1.3601,1.0696,0.6465,1.4543,2.5043,C0
f00,f10,f20,f30,f40,f50,f61,f71,f80,0.6272,1.2055,2.3945,1.7102,2.3331,0.7373,1.6241,2.4044,1.3519,C0
f00,f11,f20,f30,f41,f50,f61,f71,f80,0.7442,1.7795,0.3632,0.3122,0.8033,0.7326,0.4469,1.3213,2.3611,C0
f00,f10,f20,f30,f40,f50,f60,f71,f80,1.9121,1.971,0.1051,0.8437,1.3834,0.7602,0.4617,0.8676,0.8863,C0
f01,f11,f20,f30,f41,f50,f61,f71,f80,1.9028,1.3007,0.1253,0.8163,1.402,1.0323,0.3173,1.4611,0.9397,C0
f00,f11,f21,f30,f40,f51,f60,f71,f80,1.6893,1.1819,0.5891,1.0389,0.3105,1.0494,0.823,1.2629,0.0732,C0
f00,f11,f21,f30,f41,f50,f60,f71,f81,1.2111,0.3879,0.8337,1.1577,0.2435,1.6391,0.6536,2.0001,2.4191,C0
f01,f11,f20,f30,f40,f51,f61,f71,f80,1.4239,1.2259,1.753,0.9203,1.1466,0.1192,0.147,0.3994,1.4581,C0
f00,f11,f20,f30,f41,f50,f61,f71,f80,1.36,1.5898,0.4845,0.936,2.0122,0.9879,0.6598,1.9033,0.4413,C0
f00,f10,f20,f30,f41,f50,f60,f71,f80,1.3477,1.7641,2.0087,0.719,0.616,0.636,0.8097,1.8709,2.3505,C0
f00,f10,f21,f30,f41,f50,f61,f71,f80,1.8727,0.5896,2.3817,1.5313,1.3037,0.4882,1.4166,0.558,2.4009,C0
f01,f10,f20,f30,f41,f50,f61,f70,f80,0.9299,2.0859,2.1572,1.2073,1.4791,1.1647,0.4469,0.1299,1.0289,C0
f00,f11,f20,f30,f41,f50,f61,f71,f80,0.4517,1.1059,1.5711,1.4255,0.7041,0.0179,1.0994,2.4116,1.4501,C0
f00,f11,f20,f30,f41,f50,f60,f70,f80,1.5078,2.2471,0.3298,1.6846,1.5229,1.0381,0.4155,0.0276,2.451,C0
f01,f10,f20,f30,f40,f50,f60,f71,f80,0.3591,0.9623,0.5888,1.5022,2.2335,1.3601,0.7113,2.3476,0.5302,C0
f00,f11,f20,f31,f40,f50,f61,f71,f80,1.7512,1.1966,0.2416,1.4776,1.8605,1.103,0.5166,1.0454,1.5312,C0
f00,f10,f21,f30,f40,f50,f61,f70,f80,0.8887,1.5581,1.0145,1.4738,0.9792,0.4527,0.7795,1.094,1.0229,C0
f01,f11,f20,f30,f40,f50,f61,f71,f80,1.4124,2.2217,1.4836,1.2854,1.0243,0.3945,0.4134,0.9015,0.1267,C0
f01,f10,f20,f30,f40,f50,f60,f71,f80,1.6806,1.9525,0.8562,1.4124,0.0854,0.5232,1.0999,1.0543,2.325,C0
f00,f11,f20,f30,f40,f50,f61,f71,f80,1.1889,0.3245,0.0767,0.6983,1.5623,0.9695,1.466,2.6433,0.7304,C0
f00,f11,f21,f30,f40,f50,f60,f71,f80,1.4395,2.0525,2.5063,1.2855,0.4596,0.9136,0.2208,0.7598,1.6862,C0
f00,f11,f20,f31,f41,f50,f60,f71,f80,0.5406,1.3791,0.5385,1.3642,0.9358,0.9874,0.3529,2.4599,0.8826,C0
f00,f10,f20,f30,f41,f50,f60,f71,f80,1.2339,2.3827,2.3327,1.2109,0.5307,0.4102,0.2239,0.6484,2.5104,C0
f00,f11,f21,f30,f41,f50,f61,f71,f80,1.5164,2.2207,0.6419,0.5718,0.7274,1.5028,0.9064,1.2987,0.8343,C0
f00,f10,f21,f30,f40,f50,f61,f70,f80,1.6297,0.9576,0.928,0.775,1.948,1.7843,0.9012,0.0739,2.2633,C0
f01,f11,f20,f30,f41,f50,f61,f71,f80,0.0766,1.861,1.7101,1.1272,0.5046,0.5394,0.0214,1.193,0.2597,C0
f00,f11,f20,f30,f40,f50,f61,f71,f80,1.3184,0.8717,0.2507,1.6447,0.8028,0.3457,1.5821,0.9695,0.124,C0
f01,f10,f20,f30,f41,f50,f60,f71,f81,0.5886,1.1837,1.0417,0.6385,0.8998,0.1782,1.0837,1.9492,0.2653,C0
f00,f10,f20,f30,f41,f50,f61,f71,f80,0.3796,0.2882,1.991,1.2764,0.3028,0.3299,1.2595,2.4708,0.3948,C0
f01,f10,f20,f30,f41,f50,f61,f71,f80,0.4073,1.4998,2.3638,0.714,2.2753,0.7381,0.7934,1.9858,1.813,C0
f01,f10,f21,f30,f41,f50,f60,f71,f80,1.599,2.1179,2.2244,0.6003,0.3082,1.355,0.5558,1.3184,2.4653,C0
f00,f11,f20,f30,f40,f50,f61,f71,f80,1.666,1.6426,2.231,1.3005,1.5179,1.0844,1.6804,0.0093,1.1072,C0
f00,f11,f20,f30,f40,f50,f60,f71,f80,0.174,1.3255,1.3175,1.6461,0.3554,0.8975,0.1664,0.8422,1.4275,C0
f01,f11,f20,f30,f41,f50,f60,f71,f81,0.0288,1.0087,1.4192,0.0669,0.3654,1.82,0.734,2.2805,0.7247,C0
f00,f10,f20,f30,f41,f50,f60,f71,f80,1.1999,0.5897,0.3339,1.4834,1.1425,1.3558,0.8159,2.6724,0.272,C0
f01,f11,f20,f30,f41,f50,f61,f71,f80,1.3636,2.1163,1.0522,1.1063,1.4678,0.0299,1.4883,1.8471,0.6182,C0
f00,f10,f20,f30,f41,f50,f61,f70,f80,0.3905,1.4137,1.4537,1.0202,2.3188,1.0925,1.2497,0.2673,1.0634,C0
f00,f11,f21,f31,f40,f50,f61,f70,f80,0.5144,1.8268,1.7155,0.6371,1.5177,1.1322,1.6976,1.0909,1.0595,C0
f01,f10,f21,f30,f40,f50,f60,f70,f80,1.0974,1.7081,1.3451,0.0526,0.483,0.3821,1.0844,0.1884,1.2647,C0
f00,f10,f21,f30,f40,f50,f61,f71,f80,0.6935,0.3606,1.0733,1.2406,0.3763,0.6712,0.8871,0.8817,0.6935,C0
f00,f10,f20,f30,f41,f50,f60,f71,f81,0.5991,1.4629,1.0889,1.4946,1.1805,1.1409,0.1202,2.2491,1.8686,C0
f01,f11,f21,f31,f41,f50,f60,f71,f80,0.9908,1.0618,1.5339,1.6357,0.4817,0.6982,0.1742,0.5273,2.0704,C0
f00,f10,f21,f30,f41,f50,f60,f70,f80,1.9523,0.8546,0.5908,0.4305,2.2574,1.4327,0.7665,1.2444,0.9385,C0
f00,f11,f21,f30,f40,f50,f60,f71,f80,1.5088,0.1996,1.3349,0.1023,1.2243,1.2575,0.1023,0.9837,2.1618,C0
f00,f10,f20,f30,f41,f50,f61,f71,f80,0.2741,1.0718,2.4292,0.7128,1.428,0.7195,0.7256,2.6614,2.5287,C0
f01,f11,f20,f30,f41,f50,f61,f71,f80,1.2895,0.3378,0.1215,0.6062,0.0004,1.5691,0.5429,2.3733,1.2031,C0
f01,f10,f20,f30,f41,f50,f60,f71,f80,0.7709,0.4031,1.2831,1.5558,2.0119,1.6943,0.5941,0.2944,0.8667,C0
f00,f10,f20,f31,f40,f50,f61,f70,f80,1.7887,1.2976,0.8449,1.268,1.2765,1.0776,1.374,1.927,0.3394,C0
f00,f11,f21,f30,f40,f50,f61,f71,f80,0.7648,0.1946,0.1932,1.6026,1.9788,0.5879,0.1543,0.0764,0.9157,C0
f00,f10,f20,f30,f40,f50,f60,f71,f80,1.1246,2.15,0.3858,1.43,0.5924,0.1575,0.9889,1.8933,1.1715,C0
f01,f11,f20,f31,f41,f50,f61,f71,f80,1.7839,0.2028,1.7738,0.8577,0.2558,0.6853,0.886,2.1938,0.9154,C0
f00,f10,f20,f30,f41,f50,f60,f71,f81,1.4539,1.5034,1.3178,0.7617,0.4131,0.1385,1.3782,0.8974,0.9053,C0
f01,f11,f20,f30,f40,f51,f61,f71,f81,0.5725,0.7878,0.4573,0.3242,0.6116,0.7411,0.3905,2.0062,1.1851,C0
f01,f11,f21,f30,f41,f50,f61,f70,f81,0.9181,0.444,0.2348,0.9098,1.5597,0.9585,1.1455,0.13,1.6348,C0
f00,f11,f21,f30,f40,f50,f61,f71,f80,0.7633,2.128,0.6917,1.0422,2.3179,0.0592,1.502,2.0596,1.2597,C0
f00,f10,f21,f31,f41,f50,f60,f71,f80,0.6294,0.8415,0.9121,0.7363,1.9429,1.3143,0.6717,2.4428,2.1196,C0
f00,f10,f20,f30,f41,f50,f61,f71,f81,1.7945,2.2553,1.4587,0.3474,1.0286,0.4148,0.5472,0.3179,0.931,C0
f00,f11,f21,f30,f40,f50,f61,f71,f80,0.8871,0.5488,1.3361,0.5363,0.2808,0.1511,1.222,0.6344,1.184,C0
f01,f11,f21,f30,f40,f50,f61,f71,f80,1.8608,0.4865,1.3073,1.6362,0.8857,0.6576,1.0542,0.6282,1.8858,C0
f01,f11,f20,f30,f41,f50,f60,f71,f80,0.6309,0.9392,0.2911,1.2465,0.7609,0.608,0.2048,0.2426,0.0029,C0
f00,f11,f21,f30,f41,f50,f61,f71,f80,1.3024,1.7986,1.9883,1.2845,0.5673,0.6861,1.088,1.9878,2.0573,C0
f01,f10,f20,f30,f41,f50,f61,f71,f80,1.7111,0.3568,1.5263,0.1889,0.4533,1.1144,0.4297,1.8895,2.5277,C0
f01,f11,f20,f30,f40,f50,f60,f71,f80,0.9091,1.3758,0.8108,1.3894,2.1612,1.328,0.8409,2.0029,1.8544,C0
f01,f11,f20,f30,f40,f50,f60,f71,f81,1.4806,0.7416,2.108,0.7583,2.0666,1.4609,0.5987,1.1061,0.0511,C0
f00,f10,f21,f31,f41,f50,f61,f70,f80,1.0646,0.014,1.1631,0.6815,2.0431,0.7684,0.6264,2.4941,1.3732,C0
f00,f11,f21,f30,f40,f50,f60,f71,f80,1.2608,1.2459,0.3928,0.6898,1.2723,0.4356,0.2586,0.3455,1.305,C0
f00,f10,f21,f30,f41,f50,f61,f71,f80,0.3483,1.0541,0.8178,1.4815,1.1856,0.1857,0.3948,1.7021,0.7681,C0
f00,f10,f21,f31,f41,f50,f61,f71,f81,0.7703,1.4998,0.8306,0.5943,1.4403,1.2498,0.8095,0.9711,1.3411,C0
f01,f11,f21,f30,f40,f50,f61,f70,f80,1.1395,0.2775,0.7424,1.5724,2.0386,0.0933,0.4473,2.3251,2.2302,C0
f00,f11,f20,f30,f40,f50,f60,f71,f80,0.062,0.2202,1.8448,1.2482,0.1814,1.306,0.6962,2.3595,1.5645,C0
f00,f11,f21,f30,f41,f51,f61,f71,f80,0.7028,1.1196,2.2879,0.2753,1.7535,1.6764,0.8106,1.8698,0.5469,C0
f00,f11,f21,f30,f40,f50,f60,f71,f80,1.3907,0.8009,0.6458,1.6352,0.0027,1.2977,0.8605,2.223,1.0052,C0
f01,f11,f20,f30,f40,f50,f61,f71,f80,0.0205,0.8857,1.3341,1.7197,1.9707,1.5287,0.7743,1.4048,0.1863,C0
f01,f10,f20,f30,f41,f50,f61,f71,f80,0.0663,0.8589,1.6416,1.7366,0.5111,1.7881,0.8026,2.536,2.1679,C0
f00,f11,f20,f31,f40,f51,f60,f71,f81,0.4949,0.9777,2.3155,1.2074,0.1839,0.0227,0.9278,2.6731,2.4941,C0
f00,f11,f21,f30,f40,f50,f61,f71,f80,0.4981,0.7855,1.1937,0.3345,1.7823,1.5737,1.1384,0.1615,0.1596,C0
f00,f11,f21,f30,f41,f50,f61,f71,f80,1.5841,0.6615,0.3583,1.4427,0.8403,1.6729,0.6759,2.0374,2.4245,C0
f01,f10,f20,f30,f41,f51,f60,f70,f80,0.8062,1.2749,1.361,0.2699,1.9667,0.387,1.0833,1.4097,2.3792,C0
f01,f10,f20,f30,f41,f50,f61,f71,f80,0.3068,1.0146,2.0655,1.0748,0.4171,0.4358,1.0912,0.0557,0.3526,C0
f00,f10,f20,f31,f41,f50,f60,f71,f80,1.2029,0.1656,0.8784,0.1879,0.2348,1.1441,0.3601,2.2395,0.2659,C0
f00,f10,f20,f30,f41,f51,f60,f71,f81,0.6993,1.532,0.0618,0.2176,0.3034,0.4881,0.8109,0.0807,0.8667,C0
f00,f10,f21,f30,f41,f50,f61,f70,f80,1.7576,0.4487,1.1505,0.2864,1.3989,0.989,1.1354,1.5538,0.448,C0
f00,f10,f21,f30,f41,f50,f60,f71,f81,0.6794,0.6705,2.4118,1.7423,0.6274,0.6261,1.3511,1.8659,0.4734,C0
f01,f10,f20,f31,f40,f51,f61,f71,f80,1.7141,0.9026,2.1881,0.6204,1.6137,1.1514,0.0619,1.8246,1.8946,C0
f00,f11,f20,f30,f40,f50,f61,f70,f80,0.5278,0.3027,0.5,0.4031,1.0723,1.2601,1.2309,0.8747,0.0573,C0
f00,f10,f21,f30,f41,f50,f61,f71,f80,1.3717,1.9098,2.3353,0.7066,1.7038,1.0487,0.257,0.424,1.623,C0
f00,f11,f20,f30,f41,f50,f61,f71,f80,0.0241,0.0391,0.017,0.8998,0.7052,1.6753,0.2883,0.1234,1.9145,C0
f00,f10,f20,f30,f41,f50,f61,f71,f80,1.7951,1.9853,1.4264,0.6827,1.4252,0.0078,0.1292,1.5436,2.3671,C0
f01,f11,f20,f31,f41,f51,f61,f70,f80,0.1763,0.491,0.6266,1.5116,0.2053,1.7454,0.9326,0.3262,1.1694,C0
f00,f11,f21,f31,f41,f50,f61,f70,f80,1.9408,0.6286,1.0415,0.106,2.1957,0.1167,0.1042,2.1461,0.3427,C0
f01,f10,f20,f30,f41,f50,f61,f71,f80,1.1367,1.1436,1.0009,1.1358,1.8129,1.0214,1.1749,0.4085,1.824,C0
f00,f10,f20,f30,f41,f50,f61,f71,f80,1.3843,1.0337,2.1363,0.4802,1.9685,0.1179,0.9237,1.2293,1.747,C0
f00,f11,f20,f30,f40,f50,f61,f71,f80,1.1245,1.9402,1.1636,0.3333,1.7689,1.5811,0.6189,1.5171,2.0056,C0
f01,f11,f21,f30,f41,f50,f61,f71,f80,1.07,1.3488,1.0868,0.3069,0.8494,0.2194,0.1016,2.3163,1.2652,C0
f00,f10,f20,f30,f41,f50,f61,f71,f80,1.2453,1.8777,0.1049,0.7842,1.5074,0.8169,0.8917,2.0564,1.1097,C0
f00,f10,f21,f30,f41,f50,f60,f71,f81,1.6328,1.3575,0.1262,0.635,1.0074,1.7406,0.6054,2.3521,1.5759,C0
f00,f10,f20,f31,f41,f50,f61,f71,f80,1.1065,2.2964,0.0012,0.6237,0.533,0.3225,0.6387,0.5906,1.5607,C0
f00,f11,f20,f30,f41,f50,f61,f70,f80,1.1898,0.3885,0.065,0.845,1.3569,1.1321,1.6909,1.5149,1.9149,C0
f01,f10,f20,f30,f41,f50,f61,f70,f80,0.9714,2.1384,1.6974,0.2336,0.3149,1.2811,0.7433,2.5068,0.3983,C0
