f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,class
f01,f10,f21,f30,f40,f51,f60,f71,0.5579,0.5766,0.7563,0.2885,1.1172,1.5716,0.9724,4.5363,f160,f170,f181,C0
f01,f10,f20,f30,f40,f51,f60,f70,0.0029,0.9736,0.4934,0.718,?,1.7112,0.9156,7.0034,f160,f170,f180,C0
f01,f11,f20,f30,f40,f50,f61,f71,1.006,0.1591,0.6985,0.0602,3.7881,3.5106,1.1317,8.6946,f161,f170,f180,C0
f00,f10,f21,f31,f41,f50,f61,f71,0.7095,0.4715,0.2203,0.0511,1.309,3.1718,0.1068,7.4231,f161,f170,f180,C0
f01,f10,f21,f31,f41,f51,f60,f71,1.0903,1.0941,0.5194,0.6306,2.7865,2.9337,1.0561,9.4555,f161,f170,f181,C0
f01,f10,f20,f31,f41,f50,f60,f71,0.6309,0.6054,0.9315,0.0494,1.0425,1.7875,0.5247,1.5502,f161,f170,f181,C0
f01,f10,f20,?,f41,f51,f61,f71,1.0669,0.7341,0.9286,0.4953,0.5048,1.5416,1.2286,10.7037,f160,f170,f180,C0
f01,f10,f21,f31,f41,f51,f61,f70,0.4031,0.1491,1.0889,0.1221,3.5214,5.3825,0.0428,8.5273,f161,f171,f181,C0
f01,f10,f20,f31,f41,f51,f61,?,0.687,0.0035,0.2698,0.9204,2.7303,1.5673,0.838,5.5547,f161,f171,f181,C0
f01,f10,f20,f31,f40,f51,f60,f70,1.1121,0.9052,0.6662,1.175,0.0557,1.8515,0.5285,7.62,f160,f171,f181,C0
f01,f10,f21,f31,f41,f50,f61,f71,0.6026,1.2696,0.0697,1.123,2.7327,4.2555,0.5271,8.2854,f160,f170,f180,C0
f01,f10,f21,f31,f40,f50,f61,f71,0.8161,1.2761,0.959,0.5058,1.7337,2.8453,0.8815,0.0087,f160,f171,f181,C0
f01,f10,f21,f30,f40,f50,f60,f71,0.8767,0.2043,0.2228,0.965,2.516,5.09,0.9961,?,f160,f170,f181,C0
f01,f10,f21,f31,f40,f50,f61,f71,0.6894,1.0523,0.6425,1.1474,0.1862,0.2292,0.8749,1.2564,f160,f170,f181,C0
f01,f11,f20,f31,f41,f50,f61,f71,0.7866,0.5644,0.4713,0.6965,2.9748,1.0793,0.4074,8.3658,f160,f171,f180,C0
?,f10,f21,f31,f40,f51,f61,f70,0.6753,0.1837,1.0266,0.3121,1.4034,0.2085,0.9957,2.7026,f161,f171,f180,C0
f01,f10,f20,f31,f41,f51,f61,f71,0.8813,0.3984,1.164,0.2579,1.989,4.9925,0.6877,10.7202,f160,f171,f181,C0
f01,f10,f20,f31,f40,f51,f60,f71,0.3254,1.2179,0.7223,0.9789,0.9017,0.8625,0.7412,8.6091,f161,f171,f180,C0
f01,f10,f21,f30,f40,?,f61,f71,0.8195,0.5747,0.6113,0.0519,2.2715,1.3326,0.1226,4.7627,f161,f170,f180,C0
f01,f10,f20,f30,f40,f50,f61,f71,0.859,1.2266,0.009,0.4776,1.8277,5.2104,0.8885,0.9413,f160,f170,f181,C0
f01,f10,f20,f31,f41,f51,f60,f71,?,0.629,0.0936,?,0.2715,0.1649,0.7539,8.7874,f161,f171,f180,C0
f01,f11,f21,f30,f40,f50,f61,f71,1.0461,0.4318,0.1284,0.9053,3.503,2.3418,0.9597,8.2622,f161,f170,f181,C0
f01,f10,f21,f31,f41,f51,f60,f71,0.1564,1.0596,1.0492,0.9195,1.8458,5.3297,0.3936,1.8332,f161,f170,f180,C0
f00,f10,f21,f30,f40,f51,f60,f70,0.6926,1.0855,0.2604,0.6285,1.9816,3.7143,0.5494,6.1253,f160,f171,f180,C0
f01,f10,f21,f31,f40,f51,f61,f70,0.1012,?,0.9664,0.8908,3.1017,1.2962,0.8724,2.7579,f161,f171,f181,C0
f01,f10,f20,f31,f41,f51,f61,f71,0.398,0.2931,0.6809,0.0865,3.7989,5.3757,0.2918,6.5752,f161,f171,f180,C0
f01,f11,f20,f31,f40,f50,f61,f71,0.0676,0.5612,0.7751,0.0741,3.3267,2.2151,0.9422,10.7714,f160,f170,f181,C0
f01,f10,f21,f31,f40,f50,f60,f71,0.4542,0.0413,0.0465,1.0194,3.2841,0.246,0.3241,7.4783,f161,f171,f180,C0
f01,f10,f20,f31,f41,f51,f61,f71,1.0109,0.6867,0.9967,0.9256,1.5374,0.5371,0.7462,10.1902,f161,f170,f180,C0
?,f11,f20,f31,f41,f50,f61,f70,0.7255,0.9327,0.8213,0.3728,1.0275,3.9743,0.7985,0.1581,f161,f170,f180,C0
f01,f10,f20,f31,f40,f50,f61,f71,0.1645,0.4933,0.1004,0.5279,1.5007,0.505,0.8736,10.7183,f161,f170,f181,C0
f00,f10,f20,f31,f40,f50,f60,f70,0.863,0.0889,0.4998,0.314,3.0181,2.6062,0.6022,9.6678,f161,f171,f181,C0
f01,f10,f21,f31,f41,f51,f60,f71,0.2378,1.0051,0.1625,0.0146,0.4501,0.8813,0.5202,2.5388,f160,f170,f180,C0
f01,f10,f21,f30,f41,f51,f60,f71,0.6802,0.0478,?,0.5941,2.1797,1.2992,0.1604,?,f161,f170,f180,C0
f01,f10,f21,f31,f40,f51,f61,f71,0.1683,0.6849,0.4539,0.8853,0.5945,3.5616,0.9137,2.1485,f161,f171,f180,C0
f01,f10,f20,f30,f40,f51,f60,f71,0.3575,0.064,0.402,0.5319,0.3648,1.9183,1.0031,11.2712,f161,f170,f181,C0
f01,f10,f20,f31,f40,f50,f61,f71,0.3816,0.2838,0.3462,0.8798,3.1579,3.3335,0.843,0.2998,f161,f171,f181,C0
f01,f10,f20,f31,f40,f51,f61,f71,1.071,1.2342,0.1474,0.6109,3.4014,?,1.1253,7.9323,f160,f170,f180,C0
f01,f10,f20,f31,f40,f51,f61,f71,0.42,0.7792,0.7635,0.8671,3.8705,0.3949,0.6273,7.963,f160,f170,f181,C0
f01,f10,f21,f31,f40,f51,f60,f70,0.6388,1.1306,0.3799,0.5195,3.7384,4.7483,1.0247,6.0666,f161,f171,f180,C0
f01,f11,f20,f30,f40,f51,f61,f71,0.3405,0.1493,0.179,0.74,0.1594,2.0329,1.1035,9.5668,f161,f170,f181,C0
f01,f10,f20,f30,f40,f50,f61,f70,0.7888,0.0857,0.176,1.0224,3.7757,2.9608,0.7929,3.7412,f161,f170,f180,C0
f01,f10,f20,f31,f40,f50,f60,f71,1.1484,0.3129,0.9595,0.3176,1.9335,2.6417,0.3188,8.7704,f160,f170,f180,C0
f01,f10,f20,f31,f41,f51,f61,f71,0.1773,1.1634,0.047,0.2797,1.9332,0.7191,0.3247,6.6146,f161,f171,f181,C0
f01,f10,f20,f31,f40,f51,f60,f70,0.0513,1.0104,0.152,0.6761,1.7538,2.3525,1.2373,?,f161,f171,f181,C0
f01,f10,f21,f31,f40,f51,f61,f71,1.1778,1.1025,0.0278,0.8989,2.2864,3.9914,0.281,5.7289,f160,f170,f180,C0
?,f11,f20,f31,f40,f51,f61,f71,0.0129,1.1111,0.8084,0.9601,3.911,2.1843,0.2364,2.0491,f160,f170,f180,C0
f01,f11,f21,f30,f41,f51,f61,f71,0.1377,1.1175,1.0795,0.7648,1.2607,0.5102,0.0178,9.5093,f161,f171,f181,C0
f01,f10,f21,?,f40,?,f61,f71,1.1419,0.1268,0.9095,1.1804,?,0.971,1.1985,?,f161,f171,f181,C0
f01,f10,f20,f31,f41,f51,f61,f71,0.3547,0.053,0.883,0.676,1.7691,2.2913,0.0251,9.3219,f160,f170,f180,C0
f01,f10,f20,f31,f40,f51,f60,f71,0.2632,0.1453,0.5991,0.9186,3.2999,3.2942,0.9618,5.7818,f160,f170,f180,C0
f01,f11,f21,f31,f41,f51,f61,f71,0.7059,0.3,0.2536,0.6986,3.3745,0.9206,0.5122,4.6482,f161,f171,f180,C0
f01,f11,f21,f31,f40,f50,f61,f71,0.3891,1.0338,0.9364,0.8986,1.4859,3.4545,0.2866,9.1627,f161,f171,f181,C0
f01,f10,f20,f31,f41,f50,f60,f71,1.0414,0.5876,0.6033,0.641,0.8532,1.5766,1.0392,1.7193,f161,f170,f181,C0
f01,f10,f21,f30,f41,f50,f61,f71,0.7441,0.652,0.5138,0.2826,3.5906,3.9754,0.934,4.2692,f161,f170,f180,C0
f01,f10,f20,f31,f40,f51,f61,f71,1.1333,1.1671,0.8778,0.5645,1.2806,3.3829,?,10.206,f161,f170,f181,C0
f01,?,f21,f31,f40,?,f61,f71,0.2975,0.4753,0.4771,1.1349,2.6201,?,0.0896,4.3787,f161,f170,f180,C0
f01,f10,f20,f31,f40,f50,f61,f71,0.4776,0.9385,0.9339,1.0848,0.393,3.8283,0.365,10.7354,f161,f170,f181,C0
f01,f10,f21,f30,f40,f51,f61,f71,0.1572,0.3114,1.1729,0.5832,3.3027,?,0.9509,9.6026,f160,f170,f181,C0
f01,f10,f21,f30,f40,f50,f60,f71,0.658,0.4748,0.2316,0.3235,1.2237,3.7474,0.6263,?,f161,f170,f181,C0
f01,f10,f21,f30,f41,f50,f60,f70,0.4248,0.6275,0.5254,0.1959,3.4215,1.9173,1.1945,8.7089,f161,f171,f181,C0
f01,f10,?,f31,f40,f50,f60,f71,0.774,0.2634,0.2348,1.0456,2.0152,3.9388,1.2235,8.892,f160,f171,f181,C0
f01,f10,f20,f30,f40,?,f61,f71,0.2344,0.9981,0.3272,0.6426,2.8342,4.7981,0.7277,4.9058,f161,f170,f180,C0
f01,f11,f20,f30,f40,f50,f61,f71,0.0078,0.3549,0.852,0.3891,1.7021,4.0281,1.1586,3.2351,f161,f171,f181,C0
f01,f10,f21,f30,f41,f50,f61,f71,0.0663,0.0421,1.1067,0.6074,0.144,1.8744,0.1706,1.1175,f160,f170,f180,C0
f01,f10,f20,f31,f41,f50,f60,f71,0.4285,0.5079,0.5869,0.5105,3.5919,1.5035,0.497,8.6002,f160,f170,f180,C0
f01,f10,f20,?,f41,f51,f61,f71,1.1568,0.2987,0.8044,1.1917,3.4659,3.7133,0.9295,9.8669,f161,f170,f181,C0
f01,f10,f20,f31,f41,f51,f60,f70,0.5365,1.0269,0.7186,1.0804,2.5317,4.1872,0.1127,7.5095,f161,f171,f180,C0
f01,f10,f20,f31,f41,f51,f60,f71,0.9294,0.5494,1.0711,0.4748,1.7997,3.5543,1.1038,9.8062,f160,f171,f181,C0
f01,f11,f20,f31,f41,f50,f61,f71,0.2018,0.8841,0.2323,0.1277,2.5237,4.4752,0.5796,5.0426,f161,f170,f180,C0
f01,f11,f20,f31,f41,f51,f61,f71,?,1.0416,0.0432,1.0859,1.4672,1.5878,0.1796,9.8065,f161,f171,f180,C0
f01,f10,f21,f30,f41,f51,f61,f71,0.7453,0.1385,0.5784,0.5288,0.3296,2.5357,0.9203,2.2893,f161,f171,f181,C0
f01,f10,f21,f31,f41,f51,f61,f71,0.3523,0.8973,1.1745,1.1885,1.3797,3.3606,0.7392,10.9688,f161,f171,f181,C0
f01,f10,f21,f31,f40,f51,f61,f71,0.1069,0.991,0.1927,0.9102,0.1482,4.007,0.748,1.3306,f161,f170,f180,C0
f01,f10,f20,f31,f40,f50,f61,f71,0.993,0.6849,1.1746,0.395,4.0067,1.1222,?,9.365,f160,f171,f181,C0
f01,f10,f20,f31,f40,f51,f61,f71,0.6249,0.3059,0.3931,0.5298,1.9873,1.7005,0.1556,8.2539,f161,f171,f181,C0
f01,f10,f20,f30,?,f51,f61,f71,0.32,1.1487,0.9784,0.1812,0.7015,0.4659,1.1852,2.5434,f161,f170,f181,C0
f01,f10,f20,f31,f41,f50,f61,f71,0.5421,0.946,?,0.4959,3.9982,1.597,0.0303,7.6798,f160,f170,f180,C0
f01,f10,f20,f30,f41,f50,f61,f71,0.8788,0.0732,0.7101,0.4155,1.3926,3.3813,0.0276,5.9857,f161,f170,f180,C0
f01,f10,f20,f30,f41,f50,f60,f71,1.1571,0.9459,0.7492,1.1605,0.7584,1.9227,0.983,4.9349,f161,f170,f180,C0
f01,f10,f21,f30,f41,f50,f60,f70,0.5502,0.7064,0.6679,0.0004,2.8082,4.8469,0.4897,0.2184,f161,f171,f181,C0
f01,f10,f21,f30,f40,f51,f60,f70,0.2661,0.8129,1.1334,0.5629,0.324,5.0592,0.8295,4.6075,f161,f170,f180,C0
f01,f10,f20,f30,f41,f51,f60,f71,0.7722,0.7525,0.1236,0.2493,0.5481,1.1955,0.0311,7.1427,f161,f170,f180,C0
f01,f10,f20,f31,f40,f50,?,f70,1.0247,0.8112,0.8302,0.1967,1.8402,4.4846,1.1818,4.5534,f161,f170,f180,C0
f01,f10,f21,f31,f41,f50,f60,f70,0.6048,1.0639,0.1635,0.4708,2.6083,2.2703,1.2182,8.7763,f160,f170,f181,C0
f01,f10,f21,f31,f41,f51,f60,f71,0.5527,0.1505,0.0861,0.2105,0.0994,2.5997,0.9765,0.879,f161,f170,f181,C0
f01,f10,f20,f30,f40,f50,f60,f71,0.7975,0.906,0.9854,0.5493,0.5733,4.6966,0.7012,4.668,f161,f171,f180,C0
f01,f10,f20,?,f40,f51,f61,?,0.5003,1.1999,0.7995,0.5973,3.5153,0.8113,0.7894,10.1458,f160,f170,f181,C0
f01,f10,f21,f31,f41,f51,f61,f70,1.1096,0.7746,0.3483,0.7608,2.3894,1.218,0.5841,6.2731,f161,f170,f181,C0
f01,f10,f20,f31,f41,f51,f60,f71,0.0794,0.1932,1.1173,0.8728,3.0594,3.8132,0.7229,8.1249,f161,f171,f181,C0
f01,f10,f21,f31,f41,f51,f61,f71,0.9442,0.1925,0.094,0.2914,2.1751,4.9828,0.3192,7.9767,f161,f171,f180,C0
f01,f10,f20,f31,f41,f50,f61,f70,0.2555,0.0316,0.0455,0.3977,3.9786,1.0403,1.1656,4.9525,f160,f170,f180,C0
f01,f10,f20,f30,f40,f50,f61,f71,0.5434,1.1376,0.1482,0.7809,2.904,4.226,0.277,3.5398,f160,f170,f180,C0
f01,f10,f21,f30,f40,f50,f60,f70,0.3982,0.9749,0.443,0.3508,0.3098,1.2806,0.6009,9.8732,f160,f170,f180,C0
f01,f10,f20,f31,f41,f50,?,f70,0.1629,1.1108,0.3466,0.2013,3.8494,3.3675,0.2252,3.8295,f160,f170,f180,C0
f01,f11,f20,f31,f41,f51,?,f71,0.5407,0.3774,0.2293,0.7117,1.4126,3.6281,1.2112,4.1075,f160,f171,f180,C0
f01,f10,f21,f31,f41,f50,f60,f71,0.0339,0.3676,0.6263,0.2273,2.1509,0.4815,0.3906,6.2051,f160,f170,f180,C0
f01,f10,f20,f31,f41,f51,f61,f71,1.0936,1.2763,0.6119,0.58,1.1723,1.1952,0.1343,6.463,f160,f170,f181,C0
f01,f10,f20,f31,f41,f50,f61,f71,0.284,0.6613,0.8399,0.7784,1.0527,1.7941,1.0332,3.6115,f161,f171,f181,C0
?,f10,f21,f30,f41,f50,f61,f71,0.9141,0.0068,0.9917,0.9479,1.7964,?,1.2502,4.7504,f161,f171,f180,C0
f01,f10,f20,f31,f40,f51,f60,f70,0.0771,0.4043,0.1872,0.0631,0.2427,1.0325,0.0093,3.8618,f161,f171,f181,C0
f01,f10,f21,f31,f41,f51,f61,f71,1.1775,0.455,1.0242,0.2254,2.0505,2.1778,0.7956,5.6401,f160,f170,f180,C0
f01,f10,f21,f30,f41,f50,f60,f71,0.9177,0.3406,0.9648,1.1108,1.9255,0.4991,0.9892,4.1465,f160,f170,f181,C0
f01,f10,f20,f31,f40,f50,f60,f71,0.2291,0.0097,1.1627,0.0552,1.3861,0.2176,1.1504,7.258,f160,f170,f181,C0
f01,f10,f20,f30,f41,f51,?,f70,0.6635,0.3348,0.5083,0.6241,2.7737,2.3984,0.8901,1.6389,f161,f170,f180,C0
?,f10,f20,f30,f41,f51,f61,f71,0.8164,0.8736,0.5304,0.986,0.464,2.5214,0.6427,5.0667,f160,f170,f180,C0
f01,f10,f21,f31,f40,f51,f61,f70,0.9549,0.0016,0.7231,0.781,3.5582,1.9662,0.7049,11.0369,f161,f171,f181,C0
f01,f10,f21,f31,f41,f50,f61,f71,0.3596,0.8866,0.6087,0.2733,2.4905,1.1484,0.1265,5.0519,f161,f170,f180,C0
?,f10,f20,f31,f40,f50,f61,f71,0.7262,1.2231,0.7683,0.3528,?,2.1226,0.3215,0.3727,f161,f171,f180,C0
f01,f10,f20,f31,f40,f50,f61,f71,0.6181,0.5891,0.9012,0.2359,3.0031,0.4903,0.2933,8.9213,f161,f171,f181,C0
f01,f10,?,f31,f40,f50,f61,f70,0.4547,0.3671,0.3662,1.1098,3.3546,?,0.5904,0.6725,f160,f171,f181,C0
f01,f10,f21,f31,f40,f51,?,f70,0.5481,0.3873,0.1197,1.0175,0.153,4.7299,1.1828,?,f161,f171,f181,C0
f01,f10,f20,f31,f41,f50,f60,f71,0.1924,0.8001,1.1025,1.0368,3.3262,3.4753,0.3861,9.9745,f161,f170,f181,C0
f01,f10,f21,f31,f41,f50,f61,f71,0.0869,0.4554,1.0609,0.1776,0.9495,4.0136,1.1201,1.9971,f160,f170,f180,C0
f01,f10,f20,f31,f40,?,f60,f71,0.3291,0.3517,0.18,0.9823,0.3608,3.7822,1.2381,2.2231,f161,f171,f180,C0
f01,f10,f21,f31,f40,f50,f61,f71,0.7237,0.6684,0.3316,0.7438,3.4937,1.0949,0.1541,3.6123,f161,f171,f181,C0
f01,f11,f21,f31,f41,f51,f61,f71,0.4003,0.2877,1.0514,0.155,2.1809,4.4051,0.0257,7.3988,f161,f171,f181,C0
f01,f11,f21,f31,f41,f50,?,f71,?,0.5212,0.6795,0.0344,3.6985,0.9062,1.0228,0.793,f160,f170,f180,C0
f01,f10,f20,f30,f40,f51,f60,f70,0.0549,0.1492,0.1537,0.5188,2.1601,1.9498,?,11.1056,f161,f171,f181,C0
f00,f10,f20,f30,f40,f51,f60,f71,0.1507,0.3843,0.1452,1.0132,2.5796,2.4954,1.101,0.8131,f161,f171,f181,C0
f01,f10,f21,f30,f41,f51,f60,f71,0.8595,0.8806,0.7689,0.5956,1.8182,4.1509,0.1692,8.7518,f160,f171,f181,C0
f01,f10,f21,f30,f41,f50,f60,f71,0.8425,1.0463,0.2812,1.1813,0.219,3.4632,0.9598,8.0185,f161,f171,f181,C0
f01,f10,f20,f31,?,f50,f60,f71,0.0006,1.1819,0.239,0.5483,1.2692,4.5142,0.1494,3.8591,f161,f171,f181,C0
f01,f10,f21,f31,f40,f51,f61,f71,0.7544,0.607,0.6929,0.7554,2.5993,0.2287,0.2524,4.5779,f161,f170,f181,C0
f01,f10,f21,f31,f41,f51,f61,f71,0.6329,0.0219,0.6798,0.7362,0.966,3.932,0.331,8.2246,f161,f170,f180,C0
f01,f10,f21,f31,f40,f51,f60,f70,0.1021,0.4814,0.8351,0.9723,0.4167,2.3024,0.234,1.7601,f161,f171,f180,C0
f01,f11,f20,f30,f41,f50,f61,f71,0.2309,0.1918,0.5099,0.9407,?,4.8505,0.7959,7.5751,f161,f170,f181,C0
f01,f10,f21,f31,?,f50,f60,f71,1.0139,1.1375,0.7914,0.6282,0.543,3.6365,0.5768,5.7338,f161,f170,f181,C0
f01,f10,f20,f30,f41,f51,f61,f71,0.4973,1.1085,0.1523,0.7261,2.8683,4.0815,0.9988,0.871,f160,f170,f181,C0
f01,f10,f21,f31,f41,f51,f61,f70,0.4939,0.1663,0.3399,1.1238,1.6571,3.9861,0.7688,1.6981,f160,f170,f180,C0
?,f10,f21,f30,f41,f51,f60,f71,0.3668,0.561,1.1489,0.2058,1.6171,2.1436,0.1151,0.6937,f160,f171,f181,C0
f01,f10,f20,f30,f40,f51,f61,f71,1.1579,0.1293,0.847,0.1921,1.3627,1.2803,1.0219,5.4311,f161,f171,f181,C0
f01,f10,f21,f30,f40,f51,f60,f71,0.2839,0.8242,0.431,1.0299,3.5291,0.2034,0.6053,9.5171,f161,f171,f181,C0
f01,f11,f20,f31,f40,f50,f60,f70,0.1822,0.3268,1.1093,0.9353,0.2794,2.0441,0.4015,11.1233,f160,f170,f180,C0
f00,f10,f21,f30,f40,f51,f60,f71,0.2352,0.1419,?,0.4258,0.1232,3.1951,0.53,8.4988,f160,f170,f180,C0
f01,f10,f21,f31,f41,f50,f60,f71,0.3793,?,0.1486,0.1396,2.9826,2.8524,?,9.7299,f161,f170,f181,C0
f01,f11,f21,f31,f40,f50,f61,f71,0.1315,0.7299,0.45,1.097,2.897,2.9978,0.4341,10.2874,f160,f171,f180,C0
f01,f10,f20,f31,f40,f51,f60,f71,0.2941,0.3736,0.1723,0.0356,3.5397,1.9247,0.0902,10.6986,f160,f170,f180,C0
f01,f10,f20,f30,f40,f51,f61,f71,0.712,0.0468,0.6678,0.9819,2.4747,5.2303,0.4212,1.1513,f161,f171,f181,C0
f01,f10,f21,f31,f41,f50,f61,f71,0.1426,0.51,1.1168,0.3939,3.4224,4.1301,1.2565,11.2908,f160,f170,f180,C0
f01,f10,f20,f30,f40,f51,f61,f70,0.4479,1.0307,0.9297,0.5711,0.7577,4.9332,1.2171,5.5172,f160,f171,f181,C0
f01,f10,f20,f30,f40,f50,f61,f71,0.3883,0.1646,?,1.1069,1.1113,3.9777,1.0073,2.0766,f161,f171,f180,C0
f01,f10,f20,f30,f40,f50,f61,f71,1.1352,0.798,0.8453,0.7213,1.031,2.9647,0.9393,7.9163,f161,f171,f181,C0
f01,f10,f21,f31,f41,f51,f60,f71,0.5534,0.9607,1.1258,0.306,3.9075,1.8025,0.6338,1.4329,f161,f171,f180,C0
f01,f10,f20,f31,?,f50,f61,f71,0.1891,0.6112,0.9492,0.843,1.3827,1.5615,0.1028,7.5192,f160,f170,f181,C0
f01,f10,f21,f30,f40,f51,f61,f71,0.5837,1.1522,1.022,0.4062,3.5731,0.4009,1.1631,1.6305,f161,f170,f180,C0
f01,f11,f20,f31,f41,f50,f60,f71,1.0142,0.9524,1.0902,0.9791,1.3115,0.5835,0.483,10.9338,f161,f170,f181,C0
f01,f10,f20,f30,?,f51,f60,f71,0.8739,0.4549,0.751,0.5683,0.4957,2.4839,0.3337,8.9816,f161,f171,f181,C0
f01,f10,?,f31,f40,f51,f61,f71,1.1162,1.0173,0.9482,0.1827,1.0121,4.1814,0.5209,9.0874,f160,f170,f180,C0
f01,f10,?,f30,f40,f51,f60,f71,0.5919,0.2044,0.6495,0.2948,3.3164,1.3164,0.2809,7.1304,f161,f170,f180,C0
f01,f10,f21,?,f40,f50,f60,f70,0.5293,0.424,0.4177,1.0682,0.5368,2.1359,0.3795,6.8889,f161,f171,f181,C0
f01,f11,f20,f30,f41,f50,f60,f71,0.7605,1.1261,0.1076,0.4605,1.2827,3.6142,0.9049,0.0081,f160,f170,f180,C0
f01,f10,f21,f31,f41,f50,f61,f71,0.3704,1.2354,1.0717,0.3986,0.8318,4.9734,0.9024,10.0705,f160,f170,f180,C0
f01,f10,f20,f30,f41,f51,f61,f70,1.1073,?,0.0832,1.1769,3.983,4.653,0.1189,7.9678,f161,f170,f180,C0
f01,f11,f20,f30,f40,f51,f61,f70,0.8262,0.2463,0.7734,1.1047,3.6689,1.7939,0.949,8.1029,f160,f170,f180,C0
f01,f10,f21,f31,f40,f50,f61,f70,?,1.0333,0.6104,0.9195,2.5613,1.6258,0.8086,7.1724,f160,f170,f180,C0
f01,f10,f20,f30,f40,f51,f61,f70,1.1383,0.1414,0.5597,0.5088,1.4369,1.3725,1.056,7.9457,f161,f170,f181,C0
f01,f10,?,f31,f40,f50,f60,f71,0.99,0.7435,0.9006,0.2315,3.0542,0.8207,1.0373,9.4833,f161,f170,f180,C0
f01,f11,f21,f31,f41,f51,?,?,0.5499,0.8619,0.8477,0.6337,0.426,4.4662,0.2485,?,f161,f170,f180,C0
f00,f11,f20,f30,f40,f51,f61,f71,0.9765,0.9802,1.075,0.8158,0.209,1.8049,0.8895,1.3863,f161,f170,f180,C0
f01,f10,f21,f30,f41,f50,f61,f71,1.0411,1.0653,0.977,0.4292,2.9091,?,0.6547,7.1723,f160,f170,f180,C0
f01,f10,f20,f31,f41,f51,f60,f71,1.006,0.994,1.1608,0.5655,2.3742,3.7062,0.0058,5.1844,f161,f171,f180,C0
f01,f11,f21,f31,f40,f50,f61,f70,0.3808,1.2834,0.3433,0.6513,2.0278,0.6397,0.1233,5.6375,f161,f170,f181,C0
f01,f10,f21,f31,f41,f50,f60,f70,0.5395,0.2264,1.0476,0.2428,1.3344,1.2115,0.7273,4.3178,f160,f170,f180,C0
f01,f10,f20,f31,f40,f51,f61,f71,0.8271,0.2779,0.3607,0.7143,1.8931,3.3889,0.6213,6.2133,f160,f170,f180,C0
f01,f10,f20,f31,f40,f50,f61,f71,0.0923,0.3697,1.127,0.2335,0.3287,3.3434,0.3276,2.5157,f160,f170,f180,C0
f01,f10,f20,f30,f40,f51,f61,f70,1.0414,0.3694,0.9569,0.3179,3.3496,5.2453,0.7613,0.9199,f161,f171,f181,C0
f01,f10,f20,f30,f40,f51,f61,f70,0.4137,1.2384,0.4932,1.0845,1.3649,1.3877,0.8874,1.8139,f161,f170,f181,C0
f01,f10,f21,f30,f40,f51,f60,f71,0.4346,0.1334,0.3465,0.2508,1.0355,0.9544,0.3007,1.1219,f161,f171,f180,C0
